#FamilyID	7539_0<0>	50390_0<1>	77166_0<2>	7048_0<3>	217634_0<4>	<5>	<6>	<7>	41139_0<8>	115357_0<9>	116153_0<10>	<11>	166361_0<12>	1629725_0<13>	7070_0<14>	41895_0<15>	<16>	<17>	<18>	110193_0<19>	<20>	<21>	7054_0<22>	224129_0<23>	<24>	<25>	<26>	<27>	<28>	
10625at7041	0.117826	0.5785	0.101823	0.56785	0.150979	0.528587	0.564945	0.52749	0.545064	0.0676092	0.19479	0.514663	0.0739669	0.192535	0.513756	0.0206341	0.610852	0.519045	0.550542	0.241027	0.640586	0.512226	0.650423	0.0894597	0.53643	0.554024	0.554328	0.503208	N/A
10674at7041	0.5785	0.0426833	0.535827	0.535827	0.554667	0.00735879	0.534207	0.514039	0.523343	0.523343	0.0374406	0.507414	0.571531	0.571531	0.50695	0.50695	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	0.0187502	0.650423	0.518738	0.528193	0.0143743	0.501608	N/A
10680at7041	0.664027	0.664027	0.145792	0.596518	0.041587	0.566989	0.592603	0.00116308	0.565289	0.0353838	0.674946	0.521753	0.0129557	0.192535	0.000521674	0.526947	0.65211	0.528158	0.550542	0.660117	0.122631	0.518171	0.650423	0.226314	0.53643	0.0285805	0.554328	0.503208	N/A
1070at7041	0.541838	0.0213368	0.535827	0.000664975	0.554667	0.514612	0.534207	0.514039	0.0118044	0.523343	0.572473	0.507414	0.628098	0.628098	0.50695	0.50695	0.560865	0.509662	0.550542	0.241027	0.579508	0.50617	0.226314	0.0894597	0.53643	0.0810593	0.554328	0.503208	N/A
10740at7041	0.541838	0.541838	0.535827	0.535827	0.554667	0.514612	0.534207	0.514039	0.523343	0.523343	0.572473	0.507414	0.03694	0.571531	0.00348709	0.50695	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	3.25446e-05	0.585953	0.518738	0.528193	0.528359	0.501608	N/A
10778at7041	0.117826	0.5785	0.56785	0.101823	0.600539	0.528587	0.564945	0.52749	0.523343	0.523343	0.19479	0.514663	0.628098	0.0040908	0.50695	0.50695	0.166515	0.519045	0.550542	0.660117	0.211415	0.512226	0.00125793	0.226314	0.53643	0.554024	0.554328	0.503208	N/A
10780at7041	0.0213368	0.541838	0.000664975	0.535827	0.554667	0.514612	0.534207	0.514039	0.523343	0.523343	0.0374406	0.507414	0.03694	0.571531	0.50695	0.50695	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	0.585953	0.585953	0.518738	0.528193	0.528359	0.501608	N/A
10886at7041	0.541838	0.541838	0.0364494	0.101823	0.0561001	0.0428843	0.564945	0.52749	0.545064	0.0676092	0.19479	0.514663	0.628098	0.192535	0.513756	0.0069742	0.610852	0.519045	0.550542	0.241027	0.640586	0.512226	0.0894597	0.650423	0.53643	0.554024	0.554328	0.503208	N/A
10898at7041	0.610695	0.00998203	9.1823e-05	0.56785	0.600539	0.0147177	0.564945	0.52749	0.523343	0.523343	0.572473	0.00372063	0.571531	0.00274428	0.50695	0.50695	0.560865	0.509662	0.526299	0.136322	0.579508	0.50617	0.585953	0.000361592	0.518738	0.528193	0.528359	0.501608	N/A
1097at7041	0.0846993	0.211883	0.596518	0.0545648	0.110752	0.554747	0.592603	0.0211976	0.545064	0.545064	0.674946	0.521753	0.628098	0.628098	0.52042	0.52042	0.231187	0.528158	0.550542	0.660117	0.687947	0.518171	0.736875	2.98194e-09	0.0799813	0.577713	0.0430713	0.5048	N/A
11001at7041	0.541838	0.541838	0.535827	0.0182221	0.554667	0.514612	0.534207	0.514039	0.523343	0.523343	6.82962e-09	0.507414	0.571531	0.571531	0.50695	0.50695	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	0.0446373	0.585953	0.518738	0.528193	0.528359	0.501608	N/A
11032at7041	0.0213368	0.541838	0.535827	0.535827	0.00157698	0.514612	0.534207	0.514039	0.523343	0.523343	0.0374406	0.507414	0.571531	0.105916	0.50695	0.50695	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	0.585953	0.00401752	0.518738	0.528193	0.528359	0.501608	N/A
11041at7041	0.541838	0.0213368	0.535827	0.535827	0.554667	0.514612	0.534207	0.514039	0.523343	0.0118044	0.0374406	0.507414	0.571531	0.571531	0.50695	0.00348709	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	0.585953	0.585953	0.518738	0.528193	0.528359	0.501608	N/A
11053at7041	0.0044102	0.5785	0.535827	0.535827	0.554667	0.00735879	0.534207	0.514039	0.523343	0.523343	0.0374406	0.507414	0.571531	0.571531	0.50695	0.50695	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	0.0446373	0.585953	0.518738	0.528193	0.528359	0.501608	N/A
11122at7041	0.610695	0.00998203	0.0364494	0.56785	0.0837708	0.541956	0.564945	0.0141363	0.523343	0.523343	0.572473	0.00372063	0.571531	0.03694	0.50695	0.50695	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	0.585953	0.585953	0.518738	0.528193	0.528359	0.501608	N/A
11265at7041	0.5785	0.5785	0.535827	0.535827	0.554667	0.00735879	0.534207	0.514039	0.523343	0.0118044	0.572473	0.507414	0.571531	0.105916	0.50695	0.00348709	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	0.585953	0.0446373	0.518738	0.528193	0.528359	0.501608	N/A
11394at7041	0.610695	0.000420725	0.596518	0.00737523	0.211191	0.541956	0.592603	0.540379	0.0983566	0.565289	0.266756	0.521753	0.673158	0.673158	0.513756	0.513756	0.65211	0.528158	0.572907	0.322652	0.287175	0.518171	0.0397714	0.305168	0.55314	0.577713	0.578131	0.5048	N/A
11461at7041	0.705722	0.0454905	0.101823	0.56785	0.699628	0.00351632	0.139828	0.00116308	0.545064	0.545064	0.0107372	0.521753	0.000528134	0.0280802	0.000821304	0.533338	0.231187	0.528158	0.572907	0.0183683	0.0343263	0.518171	9.78161e-15	0.0156386	0.55314	0.577713	0.578131	0.5048	N/A
11609at7041	0.117826	0.00014614	0.535827	0.535827	0.600539	0.528587	0.534207	0.00706807	0.523343	0.523343	0.107291	0.507414	0.571531	0.571531	0.50695	0.50695	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	0.585953	0.585953	0.518738	0.528193	0.528359	0.501608	N/A
11610at7041	0.0213368	0.541838	0.0182221	0.535827	0.554667	0.514612	0.534207	0.514039	0.523343	0.523343	0.0374406	0.507414	0.03694	0.571531	0.0104131	0.50695	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	0.585953	0.0446373	0.518738	0.528193	0.528359	0.501608	N/A
11629at7041	0.541838	0.541838	0.535827	0.535827	0.554667	0.514612	0.534207	0.514039	0.523343	0.0118044	0.572473	0.507414	0.571531	0.571531	0.513756	0.513756	0.560865	0.509662	0.526299	0.592455	0.0411886	0.50617	0.000361592	0.126905	0.518738	0.528193	0.528359	0.501608	N/A
